program,sw_time
630.c,1135889.208316803
632.c,115622.00784683228
633.c,66703.08113098145
634.c,542762.02917099
635.c,65249.645709991455
637.c,64578.115940093994
638.c,63614.17770385742
639.c,63853.69300842285
640.c,65338.265895843506
641.c,66977.11944580078
643.c,83703.69672775269
644.c,75023.23389053345
645.c,72020.88832855225
646.c,72710.02531051636
647.c,71097.74351119995
648.c,73509.35935974121
650.c,67462.77809143066
651.c,64729.59518432617
652.c,64502.37035751343
653.c,68450.03366470337
654.c,64060.115814208984
655.c,63542.33026504516
656.c,66551.66149139404
657.c,64280.20000457764
658.c,72026.77726745605
659.c,65543.36547851562
660.c,64105.7014465332
661.c,67059.2188835144
662.c,64599.454402923584
664.c,65266.78800582886
665.c,65964.13850784302
666.c,99036583.29248428
667.c,68190.598487854
668.c,67330.75380325317
669.c,65194.41604614258
670.c,64930.77278137207
671.c,64856.12392425537
673.c,64379.59671020508
674.c,69618.53504180908
675.c,937758.5768699646
676.c,56116411.16142273
679.c,112231.6837310791
680.c,70628.90529632568
682.c,68555.99880218506
683.c,70374.45306777954
684.c,66863.96598815918
685.c,68633.86631011963
686.c,69014.17970657349
687.c,67360.1746559143
689.c,67044.66342926025
690.c,68123.55518341064
691.c,67865.47899246216
693.c,75558.82930755615
695.c,68570.55425643921
696.c,68576.64585113525
698.c,70609.50994491577
699.c,77506.41107559204
700.c,77430.99927902222
701.c,81440.269947052
702.c,77421.35524749756
703.c,68852.56767272949
704.c,65960.76488494873
705.c,68165.20690917969
706.c,68240.72599411011
708.c,66249.01294708252
709.c,70174.92055892944
710.c,68488.34753036499
711.c,69265.48480987549
712.c,68131.94751739502
713.c,67987.81156539917
714.c,68602.99110412598
715.c,76620.53108215332
716.c,68946.99335098267
717.c,67930.04274368286
718.c,68319.39220428467
719.c,69344.59209442139
720.c,67685.18686294556
721.c,69005.48934936523
722.c,69831.41899108887
723.c,73470.34215927124
724.c,68275.08211135864
725.c,67094.42138671875
727.c,71115.72027206421
728.c,74445.5099105835
729.c,73800.38499832153
732.c,77142.02404022217
733.c,66193.12763214111
734.c,66322.77965545654
735.c,66661.38172149658
736.c,68810.78481674194
737.c,67223.50120544434
738.c,66016.03031158447
739.c,64776.46827697754
740.c,66581.67839050293
741.c,71196.32959365845
742.c,67454.89835739136
743.c,71365.58294296265
744.c,67688.4412765503
745.c,67573.5592842102
747.c,68700.63543319702
748.c,74074.29218292236
750.c,72391.45040512085
751.c,66925.89521408081
752.c,65580.02233505249
754.c,67020.32089233398
755.c,67767.79890060425
756.c,67170.52459716797
757.c,66977.3817062378
758.c,67260.16998291016
759.c,67407.84645080566
760.c,65714.26391601562
761.c,68974.17306900024
762.c,67581.16483688354
763.c,58024.2395401001
764.c,66900.64668655396
765.c,67638.8144493103
767.c,69841.40872955322
769.c,68037.46223449707
771.c,67286.4556312561
772.c,68857.88440704346
773.c,65754.55665588379
774.c,67135.87045669556
775.c,67663.83647918701
776.c,71854.3291091919
777.c,67311.0842704773
778.c,67066.86019897461
779.c,67360.92567443848
780.c,93972.02730178833
781.c,66836.88163757324
782.c,73139.42909240723
783.c,66812.1337890625
784.c,81160.28308868408
785.c,81783.28275680542
786.c,66431.46276473999
787.c,67390.6922340393
788.c,67825.54388046265
789.c,93696.64192199707
791.c,66777.77767181396
792.c,66861.18841171265
793.c,67017.00687408447
794.c,68949.96166229248
795.c,93761.08646392822
796.c,68703.49645614624
797.c,58567.90542602539
798.c,73050.92811584473
799.c,66616.3444519043
800.c,67034.68561172485
801.c,67936.81383132935
802.c,66107.6307296753
803.c,66680.81283569336
804.c,68359.375
805.c,67430.30548095703
806.c,65004.28915023804
807.c,66831.73179626465
808.c,68395.2808380127
809.c,67551.07641220093
810.c,66552.05488204956
811.c,67620.69463729858
812.c,66624.49836730957
813.c,67116.60623550415
814.c,66876.23262405396
815.c,68109.63153839111
816.c,67321.83694839478
818.c,68387.72296905518
819.c,64893.972873687744
820.c,67508.9955329895
821.c,67563.64107131958
823.c,76888.108253479
824.c,69623.85177612305
825.c,67682.52849578857
826.c,67881.91795349121
827.c,67028.65362167358
828.c,67227.35166549683
829.c,67342.24557876587
830.c,80922.68705368042
831.c,67393.18370819092
832.c,83332.74126052856
833.c,65026.29518508911
834.c,69583.3683013916
835.c,71796.53644561768
836.c,67087.0304107666
837.c,66786.00311279297
838.c,95014.61982727051
839.c,66999.23276901245
840.c,64727.4374961853
841.c,66449.98788833618
842.c,68117.79737472534
843.c,79247.0932006836
844.c,67531.93140029907
845.c,68668.73502731323
846.c,68337.9054069519
847.c,67888.99898529053
849.c,67615.2229309082
850.c,68013.27466964722
852.c,67791.36657714844
853.c,68976.66454315186
854.c,67519.6647644043
855.c,67944.00215148926
856.c,66909.3370437622
858.c,83458.82892608643
859.c,66421.21076583862
860.c,67254.10223007202
861.c,65751.43337249756
862.c,65073.8000869751
863.c,67726.85050964355
864.c,66662.68110275269
865.c,67022.0136642456
866.c,66772.06754684448
868.c,71218.35947036743
869.c,72236.52601242065
871.c,66535.89010238647
872.c,111075.8900642395
873.c,67074.716091156
874.c,66308.79640579224
877.c,67415.02285003662
878.c,67730.37910461426
880.c,67240.0712966919
881.c,66895.12729644775
883.c,66818.66645812988
884.c,65806.91337585449
885.c,80881.76250457764
886.c,67949.73611831665
887.c,66737.63990402222
889.c,66161.75174713135
890.c,93657.1478843689
891.c,66860.02016067505
892.c,66524.00493621826
893.c,67051.69677734375
894.c,69422.82915115356
895.c,69609.36784744263
896.c,73750.73432922363
897.c,66034.59119796753
899.c,67059.15927886963
900.c,80009.59157943726
901.c,66950.47616958618
902.c,67937.18338012695
903.c,68290.04287719727
904.c,66103.44648361206
905.c,67444.63443756104
906.c,67386.37685775757
907.c,66354.70390319824
908.c,66924.72696304321
909.c,55916.8815612793
910.c,67081.32028579712
911.c,71524.51276779175
915.c,67497.99251556396
916.c,67207.22913742065
917.c,66501.12867355347
918.c,66747.95150756836
919.c,67084.02633666992
920.c,65591.28761291504
921.c,68029.41560745239
922.c,75536.88287734985
923.c,68097.65100479126
924.c,67177.71291732788
925.c,69171.07105255127
926.c,67289.31665420532
927.c,67123.53229522705
928.c,67246.7827796936
929.c,67106.53305053711
930.c,65366.59002304077
931.c,69522.29738235474
932.c,68743.51501464844
934.c,66904.29449081421
935.c,67574.16725158691
936.c,66339.85042572021
937.c,67204.52308654785
938.c,66717.81539916992
939.c,67174.76844787598
940.c,66836.36903762817
941.c,70992.48170852661
942.c,64701.04455947876
943.c,67334.31816101074
944.c,67640.1138305664
946.c,77492.5947189331
947.c,66506.17122650146
948.c,65977.71644592285
949.c,82352.6382446289
950.c,67761.56425476074
952.c,73119.81916427612
954.c,67440.93894958496
955.c,67345.28541564941
956.c,66974.10345077515
957.c,66895.44916152954
958.c,68181.71739578247
959.c,68113.85154724121
960.c,70408.70189666748
961.c,66165.76910018921
962.c,66412.47272491455
964.c,67081.76136016846
965.c,68784.11769866943
967.c,67193.41278076172
969.c,66711.78340911865
970.c,66751.37281417847
971.c,67034.53063964844
972.c,69935.78672409058
973.c,76943.36175918579
975.c,66917.38367080688
976.c,67067.37279891968
977.c,78118.13354492188
978.c,66742.38443374634
979.c,67982.07759857178
980.c,70527.68468856812
981.c,67997.20525741577
982.c,67032.51600265503
983.c,64754.414558410645
985.c,67993.70050430298
986.c,67815.88792800903
988.c,65885.42461395264
990.c,67017.91286468506
991.c,66823.8639831543
992.c,66811.203956604
993.c,66776.442527771
994.c,66790.56882858276
996.c,67127.02512741089
998.c,66546.58317565918
999.c,66986.17935180664
1000.c,61464.33353424072
1001.c,75899.21951293945
1002.c,66830.70659637451
1003.c,69170.12929916382
1004.c,68237.20932006836
1005.c,67584.00201797485
1006.c,66550.83894729614
1007.c,66441.95318222046
1008.c,67372.56050109863
1009.c,67305.60064315796
1010.c,67417.51432418823
1011.c,67955.70850372314
1012.c,67019.43874359131
1013.c,67117.91753768921
1014.c,66795.15838623047
1015.c,67211.37762069702
1016.c,66861.83214187622
1017.c,66566.74146652222
1019.c,67032.86170959473
1020.c,70402.02617645264
1021.c,64531.74352645874
1022.c,64759.838581085205
1023.c,67697.89457321167
1025.c,74472.70154953003
1026.c,69373.23808670044
1027.c,66601.96781158447
1028.c,66033.0057144165
1029.c,67569.62537765503
1030.c,68066.87116622925
1032.c,67586.6961479187
1033.c,67556.61964416504
1034.c,68246.17385864258
1035.c,66691.3628578186
1039.c,66534.06620025635
1040.c,66615.95106124878
1041.c,67097.18704223633
1042.c,109474.7543334961
1043.c,66896.47436141968
1044.c,66494.70329284668
1045.c,113130.87940216064
1046.c,67920.51792144775
1047.c,94171.40483856201
1049.c,67421.13828659058
1050.c,69530.99966049194
1051.c,75084.18560028076
1052.c,65111.64903640747
1053.c,69047.5583076477
1054.c,66195.92905044556
1055.c,66486.02485656738
1057.c,66759.24062728882
1058.c,67073.27365875244
1060.c,66047.35851287842
1061.c,67353.53469848633
1062.c,66954.73194122314
1064.c,69301.46217346191
1065.c,67567.03853607178
1066.c,66430.28259277344
1067.c,67040.45534133911
1068.c,66601.57442092896
1071.c,67427.30140686035
1072.c,67712.52155303955
1073.c,64268.49365234375
1074.c,66339.09940719604
1075.c,67096.04263305664
1076.c,66959.9175453186
1077.c,69901.29947662354
1079.c,78548.80094528198
1080.c,66687.41703033447
1081.c,81145.03622055054
1082.c,66664.57653045654
1083.c,67170.32194137573
1084.c,67621.27876281738
1085.c,110474.2169380188
1086.c,67672.44338989258
1087.c,109476.86433792114
1088.c,68437.69550323486
1089.c,95037.98484802246
1090.c,67185.1634979248
1091.c,110096.9910621643
1092.c,66732.02514648438
1093.c,67452.80027389526
1094.c,69169.58093643188
1096.c,67524.254322052
1097.c,67985.92805862427
1098.c,67965.29293060303
1099.c,70525.57468414307
1100.c,75502.74133682251
1101.c,69425.21333694458
1102.c,68550.39596557617
1103.c,67222.01108932495
1104.c,66537.8212928772
1105.c,67652.72617340088
1106.c,67075.66976547241
1107.c,67129.92191314697
1108.c,110185.2536201477
1109.c,68176.99670791626
1110.c,65211.04574203491
1111.c,66224.4200706482
1112.c,66647.14813232422
1113.c,66717.72003173828
1114.c,66276.01385116577
1115.c,67358.21962356567
1116.c,66055.94158172607
